                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     32,                0.99348,                 1.4823,                 1.3902,                 0.9068,                0.41069,                0.80928,                0.55357,                 1.8361,                 1.5646,                  1.489,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 0.8881,                 1.3432,                  1.443,                0.90336,                0.41033,                0.80985,                0.54522,                 1.8449,                 1.5867,                 1.4977,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0157,                 1.3333,                 1.3029,                0.90336,                0.41033,                0.80985,                0.54522,                 1.8449,                 1.5867,                 1.4977,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.0198,                 2.7266,                 1.4153,                0.90394,                0.40959,                0.81021,                0.54336,                 1.8565,                 1.6034,                 1.5014,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.95895,                 1.7688,                 1.2502,                0.90394,                0.40959,                0.81021,                0.54336,                 1.8565,                 1.6034,                 1.5014,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.99597,                 1.4664,                 1.3681,                0.90014,                 0.4097,                0.81138,                0.54369,                 1.8563,                 1.6212,                 1.5032,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.66897,                0.79878,                 1.0708,                0.90014,                 0.4097,                0.81138,                0.54369,                 1.8563,                 1.6212,                 1.5032,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.62954,                  1.184,                 1.0777,                0.89651,                0.40973,                0.81186,                0.50246,                 1.8615,                 1.6734,                 1.5066,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.96421,                0.96127,                 1.2556,                0.89651,                0.40973,                0.81186,                0.50246,                 1.8615,                 1.6734,                 1.5066,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 0.6754,                0.85023,                 1.0331,                0.89383,                0.41015,                 0.7299,                0.42819,                 1.8644,                 1.7099,                 1.5159,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.94404,                   1.72,                 1.3591,                0.89383,                0.41015,                 0.7299,                0.42819,                 1.8644,                 1.7099,                 1.5159,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.94071,                 1.4262,                 1.2863,                0.89091,                0.41047,                0.65157,                 0.3988,                 1.8565,                 1.7463,                 1.5259,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.1605,                 1.1883,                 1.4968,                0.89091,                0.41047,                0.65157,                 0.3988,                 1.8565,                 1.7463,                 1.5259,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.70277,                 1.0642,                 1.0903,                0.88804,                0.41124,                0.63284,                0.40483,                 1.8683,                 1.7525,                 1.5336,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.82667,                 1.1233,                 1.3124,                0.88804,                0.41124,                0.63284,                0.40483,                 1.8683,                 1.7525,                 1.5336,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.87272,                 1.9682,                 1.2974,                0.88518,                0.41293,                0.64039,                0.42342,                 1.8706,                 1.7548,                 1.5385,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.92296,                 1.6905,                 1.2984,                0.88518,                0.41293,                0.64039,                0.42342,                 1.8706,                 1.7548,                 1.5385,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.76211,                 1.0088,                 1.3003,                0.88248,                0.41517,                0.69584,                0.43774,                 1.8697,                 1.7563,                 1.5431,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.88646,                 1.0044,                 1.3157,                0.88248,                0.41517,                0.69584,                0.43774,                 1.8697,                 1.7563,                 1.5431,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.90263,                0.99885,                 1.2052,                0.88688,                0.41667,                0.69557,                0.43234,                 1.8572,                 1.7466,                 1.5428,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 1.0836,                 1.0353,                 1.4361,                0.88688,                0.41667,                0.69557,                0.43234,                 1.8572,                 1.7466,                 1.5428,             3.0048e-05,             3.0048e-05,             3.0048e-05
